name,disease,ageCat,Timeline,Causes,Symptoms,Treatment&remedies,Prevention
Cactus,Cactus rot,1,high vulnerability during early stages 1 month to 6 months,"there2 types of rots, root rots caused by overwatering and stem rots caused due to bacteria and fungi.
","stem rots symptoms are dark liquid oozing from the cacti stem, swelling stems, mushy stems and stem bruising.","to cure cacti stem rot remove the affected part of the plant immediately and treat it with a fungicide (chemical to destroy fungi) or hydrogen peroxide.
",keep the soil around plants moist not wet. Ensure good ventilation in any confined places where the cacti plant may be.
Cactus,Yellowing of Cactus,3,1-4 years old,"over-watering, insufficient sunlight, incorrect soil, too much fertilizer (Especially nitrogen) and also allowing dust to build up on plant","yellow or white spots on a cactus plant caused by over-fertilizing
Shrivelled-up leaves due to little water and too much sun exposure.
","give the roots plenty of room to breathe. Ensure that cacti receive sufficient sunlight and ventilation. Feed the plant with a cactus fertilizer.
",
Cactus,Sunburnt cactus,3,"first 3 years
",cacti exposure to direct sunlight,"loss of green colour, brown spots in cactus skin and withered leaves.","move the cactus to a location with more shade and mist the plant frequently to keep the plant hydrated. Use water rich in nutrients and cactus fertilizer on the soil surrounding the roots of the affected plant.
",
Cactus,Frost damaged cactus,3,upto 2 two years old,"exposure to freezing conditions or extreme temperature, ",white colouration of leaves. Dry spots appear on the body of the plant. Brown or yellow spots and patches,"overwater plants during winter months to prevent any potential freezing conditions. Move the plant to a location with warmer temperatures and give them more sunlight so it will help to speed up the process of healing the plant.
",
Cactus,Fusariosis,4,3 to 8 years,"the fungus causing this is ” fusarium oxyporum”. The fungus enters the roots initially through tiny wounds that are more likely caused by nematodes. Then the fungus spread upward throughout the cacti.
","pink or white mold appears around the base of the plant. The entire cactus starts to wilt and become discolored, turning red or purple. A bad rotting smell is given off by the plant.
","cut out infected areas with a sharp knife and dust the wounds with charcoal or Sulphur dust. As fusarium spreads fast in hot, wet conditions keep the plant as dry as possible. 
",To reduce the risk of introducing fusarium to its environment always sterilize pots and use new sterile soil to plant a cactus.
Cactus,Neck rot,4,2 to 5 years old,"neck rot is caused by a fungus called “phytophthora”.  This fungus generally appears due to excessive watering.
","black or brown discoloration at the base of the stems.
","all the rotted parts of the plant must be pruned off. If it is not completely removed it will spread quickly once again killing the cactus.
",avoid excessive watering and flooding of soil where cactus is planted.
Cactus,Phyllosticta pad spot,5,5 to 10 years,"generally caused by a fungus called “phyllosticta”. This disease is found most commonly throughout the desert. Pads on the lower part of plants are often most heavily infected since the humidity is higher and moisture often persists after watering. 
","black lesions on the surface of the infected plant tissue.
",remove infected parts of the plant.,
Anthuriums,Bacterial blight,1,during the first year,caused by bacteria that infect the anthurium plant by entering pores along the leaf margins. The bacteria also enter if leaf tissues become torn through pruning or even if leaf tissues are punctured by insects. Warm temperatures and high humidity contribute to this.,yellowed-leaved and water-soaked lesions along the leaf margins that grow rapidly to form dead V-shaped lesions.  Leaves show a bronzed appearance and floral quality is reduced and plants wilt and die.,lower greenhouse humidity and temperature b increasing air circulation.  Discard affected parts of the plant. Use fungicides,"Sterilize knives and clippers by dipping cutting tools in disinfectant between harvesting different plants

"
Anthuriums,Bacterial wilt,1,2 months to 2 years,"spreads rapidly throughout the vascular system of plants. The bacteria causing this is “Ralstonia solanacearum” which colonizes soil for years. 
","leaf yellowing. Turn veins in leaves and stems a brown, bronze color. Bacterial ooze from cuts in the stem of highly infected plants.
","use pesticides containing copper, mancozeb and phosphorus. Increase air circulation to leaves. ",Ensure that the pruning shears are sterilized and sanitized before using.
Anthuriums,Rhizoctonia root rot,2,"1 month to 9 months
","caused by “Rhizoctonia fungus”. The fungus attacks the roots and the lower parts of the stem that are in closest contact with the soil.
","dark mushy roots, rotten smell, visible fungus growth, discoloration, wilting and drooping leaves.
",repot the plant in freshly prepared soil in a new sterilized pot. Throw away the old soil.,
